nom_espace,topic,annotation,mots_cles
Le Commissariat,-1,Autres thèmes,Non classifié
/ 77,-1,Autres thèmes,Non classifié
Immanence,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Lieu d'exposition en voie de déplacement (LEVD),2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
mezcla,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
BLINDSIDE,-1,Autres thèmes,Non classifié
Rogertator,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
H+,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
KINGS Artist Run,-1,Autres thèmes,Non classifié
Quellkollektiv,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Zebra3/Buy-sellf,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Artpool,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
PLATEFORME,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
GERTRUDE CONTEMPORARY,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Nürnberger Eck,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Le générateur,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
TCB,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Duplex100m2,-1,Autres thèmes,Non classifié
Borgo Ensemble,-1,Autres thèmes,Non classifié
West Space,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
YARAT Contemporary Art Space,-1,Autres thèmes,Non classifié
CONICAL,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
SEA Foundation,-1,Autres thèmes,Non classifié
Le Hall,-1,Autres thèmes,Non classifié
PRÉFACE,-1,Autres thèmes,Non classifié
Bell Street Project Space,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Salaisons,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Museo de Arte Abstracto Español,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
periscope,-1,Autres thèmes,Non classifié
L'impasse,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
l'Œil de Poisson,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Néon,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Autocenter,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Association Art Today,-1,Autres thèmes,Non classifié
Open Space,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Angle art contemporain,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Triangle,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Para Site,-1,Autres thèmes,Non classifié
EDEL EXTRA,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Studio Voltaire,-1,Autres thèmes,Non classifié
White Columns,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
The Artists Village (TAV),6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
URGENT PARADISE,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
ARTos,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
LOOP,-1,Autres thèmes,Non classifié
L'espace d'en bas,-1,Autres thèmes,Non classifié
attrape-couleurs,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
LIEU-COMMUN,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
STANDARDS,-1,Autres thèmes,Non classifié
Live Club Ssam (SSamzie Space),-1,Autres thèmes,Non classifié
GRIMMUSEUM,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
G39,-1,Autres thèmes,Non classifié
Gängeviertel,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
POOL,-1,Autres thèmes,Non classifié
Transmission,-1,Autres thèmes,Non classifié
Collective,-1,Autres thèmes,Non classifié
Brain Factory,-1,Autres thèmes,Non classifié
Espace 29,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
L'H du Siège,-1,Autres thèmes,Non classifié
artellewa,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Bootlab,-1,Autres thèmes,Non classifié
