nom_espace,topic,annotation,mots_cles
Le Commissariat,-1,Autres thèmes,Non classifié
/ 77,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Immanence,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Lieu d'exposition en voie de déplacement (LEVD),1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
mezcla,-1,Autres thèmes,Non classifié
BLINDSIDE,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
Rogertator,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
H+,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
KINGS Artist Run,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Quellkollektiv,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Zebra3/Buy-sellf,-1,Autres thèmes,Non classifié
Artpool,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
PLATEFORME,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
GERTRUDE CONTEMPORARY,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Nürnberger Eck,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Le générateur,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
TCB,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
Duplex100m2,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Borgo Ensemble,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
West Space,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
YARAT Contemporary Art Space,-1,Autres thèmes,Non classifié
CONICAL,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
SEA Foundation,-1,Autres thèmes,Non classifié
Le Hall,-1,Autres thèmes,Non classifié
PRÉFACE,-1,Autres thèmes,Non classifié
Bell Street Project Space,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Salaisons,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Museo de Arte Abstracto Español,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
periscope,-1,Autres thèmes,Non classifié
L'impasse,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
l'Œil de Poisson,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Néon,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Autocenter,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
Association Art Today,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Open Space,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Angle art contemporain,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Triangle,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Para Site,-1,Autres thèmes,Non classifié
EDEL EXTRA,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Studio Voltaire,-1,Autres thèmes,Non classifié
White Columns,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
The Artists Village (TAV),-1,Autres thèmes,Non classifié
URGENT PARADISE,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
ARTos,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
LOOP,-1,Autres thèmes,Non classifié
L'espace d'en bas,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
attrape-couleurs,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
LIEU-COMMUN,-1,Autres thèmes,Non classifié
STANDARDS,-1,Autres thèmes,Non classifié
Live Club Ssam (SSamzie Space),-1,Autres thèmes,Non classifié
GRIMMUSEUM,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
G39,-1,Autres thèmes,Non classifié
Gängeviertel,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
POOL,-1,Autres thèmes,Non classifié
Transmission,-1,Autres thèmes,Non classifié
Collective,-1,Autres thèmes,Non classifié
Brain Factory,-1,Autres thèmes,Non classifié
Espace 29,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
L'H du Siège,-1,Autres thèmes,Non classifié
artellewa,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Bootlab,-1,Autres thèmes,Non classifié
Alexandria Contemporary Arts Forum (ACAF),0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
40mcube,-1,Autres thèmes,Non classifié
Diagonale,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
La Maudite,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Interface appartement /galerie,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
À Suivre...,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
